date,name,module,description,status,leave_type
2025-12-10,naqu,nebula,812 (consent enquiry,in_progress,
2025-12-11,naqu,nebula,812 (consent enquiry,done,
2026-04-07,naqu,talay,change db operation to upsert,in_progress,
2026-02-19,naqu,talay,debug setl0102. found a bug on nextswitch again,in_progress,
2026-04-06,naqu,talay,draft new colive solution,in_progress,
2026-03-10,naqu,talay,fix farhan bugs,in_progress,
2026-04-27,naqu,talay,fix master etl colive handling,in_progress,
2025-12-08,naqu,talay,handover to cards,in_progress,
2026-03-30,naqu,talay,pipeline; ansible for talay,in_progress,
2025-11-07,naqu,talay,portal io hap setup,in_progress,
2025-12-12,naqu,talay,report - master table,in_progress,
2025-11-17,naqu,talay,report module - cleanup,in_progress,
2025-11-03,naqu,talay,report module - elk,in_progress,
2025-11-10,naqu,talay,report module - sql,in_progress,
2026-04-20,naqu,talay,rewriting colive solution,in_progress,
2026-03-17,naqu,talay,setup metrics in nft,in_progress,
2026-02-26,naqu,talay,sql code cleanup,in_progress,
2026-02-27,naqu,talay,sql code cleanup,done,
2026-04-14,naqu,talay,talay non functional testing,in_progress,
2026-01-09,naqu,nebula,vd-911; vd-909; vd-907; vd-919,in_progress,
